entry,nbText,nbRdfa,nbMicrodata,nbJsonld
http://schema.org/contentReferenceTime,1,1,1,1
http://schema.org/InteractionCounter,5,5,5,5
http://schema.org/Periodical,2,2,2,2
http://schema.org/PublicationIssue,3,3,3,3
http://schema.org/PublicationVolume,4,4,4,4
http://schema.org/ScholarlyArticle,3,3,3,3
http://schema.org/AskAction,1,1,1,1
http://schema.org/AssessAction,1,1,1,1
http://schema.org/AssignAction,1,1,1,1
http://schema.org/Atlas,1,1,1,1
http://schema.org/Audience,1,1,1,1
http://schema.org/SpecialAnnouncement,5,5,5,5
http://schema.org/audience,2,2,2,2
http://schema.org/governmentBenefitsInfo,1,1,1,1
http://schema.org/jurisdiction,1,1,1,1
http://schema.org/serviceType,1,1,1,1
http://schema.org/AudioObject,1,1,1,1
http://schema.org/MediaObject,1,1,1,1
http://schema.org/contentUrl,1,1,1,1
http://schema.org/description,1,1,1,1
http://schema.org/duration,2,2,2,2
http://schema.org/encodingFormat,3,3,3,3
http://schema.org/Audiobook,2,2,2,2
http://schema.org/readBy,1,1,1,1
http://schema.org/AuthorizeAction,1,1,1,1
http://schema.org/BankAccount,1,1,1,1
http://schema.org/BankOrCreditUnion,1,1,1,1
http://schema.org/Invoice,2,2,2,2
http://schema.org/Person,15,15,15,15
http://schema.org/PriceSpecification,3,3,3,3
http://schema.org/BefriendAction,1,1,1,1
http://schema.org/BioChemEntity,1,1,1,1
http://schema.org/Blog,2,2,2,2
http://schema.org/BlogPosting,2,2,2,2
http://schema.org/BodyMeasurementTypeEnumeration,1,1,1,1
http://schema.org/MeasurementTypeEnumeration,1,1,1,1
http://schema.org/SizeGroupEnumeration,1,1,1,1
http://schema.org/SizeSpecification,1,1,1,1
http://schema.org/SizeSystemEnumeration,1,1,1,1
http://schema.org/WearableMeasurementTypeEnumeration,1,1,1,1
http://schema.org/additionalType,1,1,1,1
http://schema.org/offeredBy,2,2,2,2
http://schema.org/accessibilityAPI,2,2,2,2
http://schema.org/accessibilityControl,2,2,2,2
http://schema.org/accessibilityFeature,6,5,5,6
http://schema.org/accessibilityHazard,3,3,3,3
http://schema.org/translationOfWork,1,1,1,1
http://schema.org/translator,1,1,1,1
http://schema.org/workTranslation,1,1,1,1
http://schema.org/BookSeries,1,1,1,1
http://schema.org/author,1,1,1,1
http://schema.org/BookmarkAction,1,1,1,1
http://schema.org/BorrowAction,1,1,1,1
http://schema.org/BreadcrumbList,1,1,1,1
http://schema.org/ItemList,6,6,6,6
http://schema.org/ListItem,1,1,1,1
http://schema.org/item,1,1,1,1
http://schema.org/itemListElement,1,1,1,1
http://schema.org/BroadcastEvent,4,4,4,4
http://schema.org/BroadcastService,7,7,7,7
http://schema.org/OnDemandEvent,2,2,2,2
http://schema.org/RadioEpisode,1,1,1,1
http://schema.org/RadioSeason,1,1,1,1
http://schema.org/RadioSeries,1,1,1,1
http://schema.org/TVEpisode,3,3,3,3
http://schema.org/TVSeason,2,2,2,2
http://schema.org/TVSeries,2,2,2,2
http://schema.org/SportsEvent,2,2,2,2
http://schema.org/broadcastOfEvent,1,1,1,1
http://schema.org/competitor,1,1,1,1
http://schema.org/isLiveBroadcast,1,1,1,1
http://schema.org/videoFormat,1,1,1,1
http://schema.org/BroadcastFrequencySpecification,2,2,2,2
http://schema.org/broadcastFrequency,2,2,2,2
http://schema.org/CableOrSatelliteService,1,1,1,1
http://schema.org/Organization,10,10,10,10
http://schema.org/TelevisionChannel,1,1,1,1
http://schema.org/BrokerageAccount,1,1,1,1
http://schema.org/BusReservation,1,1,1,1
http://schema.org/BusTrip,1,1,1,1
http://schema.org/BusStop,1,1,1,1
http://schema.org/BuyAction,1,1,1,1
http://schema.org/CancelAction,1,1,1,1
http://schema.org/Car,2,2,2,2
http://schema.org/makesOffer,2,2,2,2
http://schema.org/CategoryCode,2,2,2,2
http://schema.org/CategoryCodeSet,2,2,2,2
http://schema.org/hasCategoryCode,2,2,2,2
http://schema.org/inCodeSet,2,2,2,2
http://schema.org/codeValue,1,1,1,1
http://schema.org/Cemetery,1,1,1,1
http://schema.org/touristType,3,3,3,3
http://schema.org/Chapter,1,1,1,1
http://schema.org/CheckAction,2,2,2,2
http://schema.org/CheckInAction,3,3,3,3
http://schema.org/CheckOutAction,1,1,1,1
http://schema.org/ChooseAction,2,2,2,2
http://schema.org/City,1,1,1,1
http://schema.org/CivicStructure,1,1,1,1
http://schema.org/ClaimReview,2,2,2,2
http://schema.org/Clip,1,1,1,1
http://schema.org/endOffset,1,1,1,1
http://schema.org/startOffset,1,1,1,1
http://schema.org/Collection,1,1,1,1
http://schema.org/CollegeOrUniversity,3,3,3,3
http://schema.org/EducationalOrganization,2,2,2,2
http://schema.org/OrganizationRole,3,3,3,3
http://schema.org/Role,5,5,5,5
http://schema.org/ComicCoverArt,1,1,1,1
http://schema.org/ComicIssue,1,1,1,1
http://schema.org/ComicSeries,1,1,1,1
http://schema.org/CoverArt,1,1,1,1
http://schema.org/artist,1,1,1,1
http://schema.org/colorist,1,1,1,1
http://schema.org/letterer,1,1,1,1
http://schema.org/CommentAction,1,1,1,1
http://schema.org/CommunicateAction,2,2,2,2
http://schema.org/ConfirmAction,1,1,1,1
http://schema.org/ConsumeAction,1,1,1,1
http://schema.org/HearingImpairedSupported,1,1,1,1
http://schema.org/TollFree,1,1,1,1
http://schema.org/Conversation,1,1,1,1
http://schema.org/Message,2,2,2,2
http://schema.org/CookAction,1,1,1,1
http://schema.org/Corporation,1,1,1,1
http://schema.org/DryCleaningOrLaundry,1,1,1,1
http://schema.org/Pharmacy,5,5,5,5
http://schema.org/Store,5,5,5,5
http://schema.org/CorrectionComment,1,1,1,1
http://schema.org/correction,1,1,1,1
http://schema.org/Course,4,4,4,4
http://schema.org/CourseInstance,3,3,3,3
http://schema.org/courseMode,3,3,3,3
http://schema.org/hasCourseInstance,3,3,3,3
http://schema.org/courseCode,1,1,1,1
http://schema.org/provider,2,2,2,2
http://schema.org/CovidTestingFacility,1,1,1,1
http://schema.org/CreateAction,1,1,1,1
http://schema.org/MusicEvent,3,3,3,3
http://schema.org/Thing,1,1,1,1
http://schema.org/PerformingArtsTheater,1,1,1,1
http://schema.org/TheaterEvent,1,1,1,1
http://schema.org/JobPosting,5,5,5,5
http://schema.org/OccupationalExperienceRequirements,1,1,1,1
http://schema.org/credentialCategory,3,3,3,3
http://schema.org/educationRequirements,2,2,2,2
http://schema.org/experienceInPlaceOfEducation,1,1,1,1
http://schema.org/materialExtent,2,2,2,2
http://schema.org/contentRating,1,1,1,1
http://schema.org/CreditCard,1,1,1,1
http://schema.org/MonetaryAmount,3,3,3,3
http://schema.org/UnitPriceSpecification,1,1,1,1
http://schema.org/DDxElement,1,1,1,1
http://schema.org/MedicalCause,1,1,1,1
http://schema.org/MedicalCondition,1,1,1,1
http://schema.org/MedicalRiskFactor,1,1,1,1
http://schema.org/MedicalSignOrSymptom,1,1,1,1
http://schema.org/MedicalSymptom,1,1,1,1
http://schema.org/DataFeed,2,2,2,2
http://schema.org/MobileApplication,1,1,1,1
http://schema.org/supportingData,1,1,1,1
http://schema.org/Dataset,3,3,3,3
http://schema.org/Grant,7,7,7,7
http://schema.org/DefinedRegion,1,1,1,1
http://schema.org/DefinedTerm,4,4,4,4
http://schema.org/termCode,2,2,2,2
http://schema.org/industry,1,1,1,1
http://schema.org/DefinedTermSet,1,1,1,1
http://schema.org/inDefinedTermSet,2,2,2,2
http://schema.org/DeleteAction,1,1,1,1
http://schema.org/DeliveryChargeSpecification,1,1,1,1
http://schema.org/GeoCircle,2,2,2,2
http://schema.org/Dentist,1,1,1,1
http://schema.org/DepartAction,1,1,1,1
http://schema.org/DepositAccount,1,1,1,1
http://schema.org/DigitalDocument,1,1,1,1
http://schema.org/DigitalDocumentPermission,1,1,1,1
http://schema.org/ReadPermission,1,1,1,1
http://schema.org/WritePermission,1,1,1,1
http://schema.org/DisagreeAction,1,1,1,1
http://schema.org/DiscoverAction,1,1,1,1
http://schema.org/DiscussionForumPosting,1,1,1,1
http://schema.org/DislikeAction,1,1,1,1
http://schema.org/DonateAction,1,1,1,1
http://schema.org/DownloadAction,1,1,1,1
http://schema.org/DrawAction,1,1,1,1
http://schema.org/DrinkAction,1,1,1,1
http://schema.org/Drug,1,0,0,1
http://schema.org/DrugClass,1,1,1,1
http://schema.org/MedicalWebPage,1,1,1,1
http://schema.org/EatAction,1,1,1,1
http://schema.org/EducationalAudience,1,1,1,1
http://schema.org/educationalRole,1,1,1,1
http://schema.org/learningResourceType,1,1,1,1
http://schema.org/EducationalOccupationalCredential,3,3,3,3
http://schema.org/competencyRequired,1,1,1,1
http://schema.org/Occupation,6,6,6,6
http://schema.org/EducationalOccupationalProgram,2,2,2,2
http://schema.org/EmailMessage,1,1,1,1
http://schema.org/bccRecipient,1,1,1,1
http://schema.org/ccRecipient,1,1,1,1
http://schema.org/toRecipient,1,1,1,1
http://schema.org/EmployerAggregateRating,1,1,1,1
http://schema.org/EndorseAction,1,1,1,1
http://schema.org/EntryPoint,1,1,1,1
http://schema.org/SoftwareApplication,1,1,1,1
http://schema.org/ViewAction,4,4,4,4
http://schema.org/Schedule,6,6,6,6
http://schema.org/eventSchedule,5,5,5,5
http://schema.org/LimitedAvailability,0,1,1,1
http://schema.org/VirtualLocation,2,0,0,2
http://schema.org/eventAttendanceMode,2,0,0,2
http://schema.org/MusicRecording,2,2,2,2
http://schema.org/VideoObject,2,2,2,2
http://schema.org/interactionStatistic,1,1,1,1
http://schema.org/interactionType,1,1,1,1
http://schema.org/video,1,1,1,1
http://schema.org/EventCancelled,1,1,1,1
http://schema.org/event,1,1,1,1
http://schema.org/SoldOut,1,1,1,1
http://schema.org/EventRescheduled,1,1,1,1
http://schema.org/EventReservation,1,1,1,1
http://schema.org/Seat,1,1,1,1
http://schema.org/Ticket,1,1,1,1
http://schema.org/EventSeries,1,1,1,1
http://schema.org/ExchangeRateSpecification,1,1,1,1
http://schema.org/ExerciseAction,2,2,2,2
http://schema.org/ExhibitionEvent,1,1,1,1
http://schema.org/FilmAction,1,1,1,1
http://schema.org/FinancialProduct,1,1,1,1
http://schema.org/FindAction,1,1,1,1
http://schema.org/Flight,1,1,1,1
http://schema.org/FlightReservation,1,1,1,1
http://schema.org/FollowAction,1,1,1,1
http://schema.org/FoodEstablishmentReservation,1,1,1,1
http://schema.org/FundingAgency,2,2,2,2
http://schema.org/ResearchProject,3,3,3,3
http://schema.org/Game,1,1,1,1
http://schema.org/Service,4,4,4,4
http://schema.org/TaxiService,1,1,1,1
http://schema.org/geoMidpoint,1,1,1,1
http://schema.org/geoRadius,1,1,1,1
http://schema.org/providerMobility,1,1,1,1
http://schema.org/GeoCoordinates,2,2,2,2
http://schema.org/geo,2,2,2,2
http://schema.org/latitude,1,1,1,1
http://schema.org/longitude,1,1,1,1
http://schema.org/GiveAction,2,2,2,2
http://schema.org/Guide,4,4,4,4
http://schema.org/HealthInsurancePlan,1,1,1,1
http://schema.org/HealthPlanCostSharingSpecification,1,1,1,1
http://schema.org/HealthPlanFormulary,1,1,1,1
http://schema.org/Hotel,3,3,3,3
http://schema.org/logo,1,1,1,1
http://schema.org/HotelRoom,1,1,1,1
http://schema.org/HowTo,1,1,1,1
http://schema.org/HowToDirection,1,1,1,1
http://schema.org/HowToSection,1,1,1,1
http://schema.org/HowToStep,1,1,1,1
http://schema.org/HowToTip,1,1,1,1
http://schema.org/afterMedia,1,1,1,1
http://schema.org/beforeMedia,1,1,1,1
http://schema.org/duringMedia,1,1,1,1
http://schema.org/estimatedCost,1,1,1,1
http://schema.org/steps,1,1,1,1
http://schema.org/supply,1,1,1,1
http://schema.org/tool,1,1,1,1
http://schema.org/totalTime,1,1,1,1
http://schema.org/IgnoreAction,3,3,3,3
http://schema.org/ImageObject,2,2,2,2
http://schema.org/PropertyValue,15,15,15,15
http://schema.org/additionalProperty,14,14,14,14
http://schema.org/IndividualProduct,1,1,1,1
http://schema.org/InformAction,1,1,1,1
http://schema.org/InsertAction,1,1,1,1
http://schema.org/InstallAction,1,1,1,1
http://schema.org/InteractAction,2,2,2,2
http://schema.org/InvestmentFund,1,1,1,1
http://schema.org/InvestmentOrDeposit,1,1,1,1
http://schema.org/InviteAction,1,1,1,1
http://schema.org/Order,2,2,2,2
http://schema.org/occupationalCategory,3,3,3,3
http://schema.org/qualifications,1,1,1,1
http://schema.org/applicantLocationRequirements,1,1,1,1
http://schema.org/JoinAction,4,4,4,4
http://schema.org/availableLanguage,2,2,2,2
http://schema.org/LeaveAction,1,1,1,1
http://schema.org/Legislation,2,2,2,2
http://schema.org/LegislationObject,1,1,1,1
http://schema.org/LendAction,1,1,1,1
http://schema.org/Library,1,1,1,1
http://schema.org/OpeningHoursSpecification,2,2,2,2
http://schema.org/openingHoursSpecification,1,1,1,1
http://schema.org/LikeAction,1,1,1,1
http://schema.org/LinkRole,2,2,2,2
http://schema.org/ReserveAction,3,3,3,3
http://schema.org/LiteraryEvent,1,1,1,1
http://schema.org/LiveBlogPosting,1,1,1,1
http://schema.org/LoanOrCredit,1,1,1,1
http://schema.org/addressLocality,3,3,3,3
http://schema.org/streetAddress,3,3,3,3
http://schema.org/telephone,4,4,4,4
http://schema.org/OfferCatalog,1,1,1,1
http://schema.org/hasOfferCatalog,1,1,1,1
http://schema.org/LocationFeatureSpecification,2,2,2,2
http://schema.org/amenityFeature,2,2,2,2
http://schema.org/hoursAvailable,1,1,1,1
http://schema.org/LodgingReservation,1,1,1,1
http://schema.org/LoseAction,1,1,1,1
http://schema.org/LowFatDiet,1,1,1,1
http://schema.org/NutritionInformation,3,3,3,3
http://schema.org/Recipe,1,1,1,1
http://schema.org/RestrictedDiet,1,1,1,1
http://schema.org/calories,1,1,1,1
http://schema.org/cookTime,1,1,1,1
http://schema.org/datePublished,1,1,1,1
http://schema.org/fatContent,1,1,1,1
http://schema.org/prepTime,1,1,1,1
http://schema.org/recipeIngredient,1,1,1,1
http://schema.org/recipeYield,1,1,1,1
http://schema.org/suitableForDiet,1,1,1,1
http://schema.org/Map,1,1,1,1
http://schema.org/VenueMap,1,1,1,1
http://schema.org/MarryAction,1,1,1,1
http://schema.org/MathSolver,1,1,1,1
http://schema.org/SolveMathAction,1,1,1,1
http://schema.org/MediaReview,1,1,1,1
http://schema.org/MedicalGuideline,2,2,2,2
http://schema.org/MedicalGuidelineRecommendation,2,2,2,2
http://schema.org/MedicalScholarlyArticle,1,1,1,1
http://schema.org/MedicalGuidelineContraindication,1,1,1,1
http://schema.org/Menu,2,2,2,2
http://schema.org/MenuItem,2,2,2,2
http://schema.org/MenuSection,2,2,2,2
http://schema.org/hasMenuItem,2,2,2,2
http://schema.org/hasMenuSection,2,2,2,2
http://schema.org/MonetaryAmountDistribution,1,1,1,1
http://schema.org/MonetaryGrant,1,1,1,1
http://schema.org/MortgageLoan,1,1,1,1
http://schema.org/RepaymentSpecification,1,1,1,1
http://schema.org/MoveAction,1,1,1,1
http://schema.org/Movie,5,5,5,5
http://schema.org/MovieTheater,1,1,1,1
http://schema.org/ScreeningEvent,1,1,1,1
http://schema.org/WatchAction,5,5,5,5
http://schema.org/editEIDR,2,2,2,2
http://schema.org/titleEIDR,2,2,2,2
http://schema.org/countryOfOrigin,1,1,1,1
http://schema.org/Museum,1,1,1,1
http://schema.org/MusicComposition,2,2,2,2
http://schema.org/MusicPlaylist,1,1,1,1
http://schema.org/PublicationEvent,1,1,1,1
http://schema.org/NGO,1,1,1,1
http://schema.org/NewsArticle,1,1,1,1
http://schema.org/Newspaper,1,1,1,1
http://schema.org/NonprofitType,1,1,1,1
http://schema.org/nonprofitStatus,1,1,1,1
http://schema.org/Observation,1,1,1,1
http://schema.org/StatisticalVariable,1,1,1,1
http://schema.org/checkoutPageURLTemplate,1,1,1,1
http://schema.org/OfferShippingDetails,1,1,1,1
http://schema.org/ShippingDeliveryTime,1,1,1,1
http://schema.org/deliveryTime,1,1,1,1
http://schema.org/shippingRate,1,1,1,1
http://schema.org/OnlineBusiness,1,1,1,1
http://schema.org/OnlineStore,1,1,1,1
http://schema.org/OrderItem,1,1,1,1
http://schema.org/OrderAction,1,1,1,1
http://schema.org/SportsTeam,2,2,2,2
http://schema.org/faxNumber,1,1,1,1
http://schema.org/postalCode,2,2,2,2
http://schema.org/OrganizeAction,2,2,2,2
http://schema.org/PaintAction,1,1,1,1
http://schema.org/Painting,2,2,2,2
http://schema.org/genre,1,1,1,1
http://schema.org/contentLocation,1,1,1,1
http://schema.org/locationCreated,1,1,1,1
http://schema.org/PayAction,1,1,1,1
http://schema.org/PaymentCard,1,1,1,1
http://schema.org/PaymentService,1,1,1,1
http://schema.org/PerformAction,1,1,1,1
http://schema.org/PerformanceRole,1,1,1,1
http://schema.org/actor,1,1,1,1
http://schema.org/addressRegion,1,1,1,1
http://schema.org/email,1,1,1,1
http://schema.org/url,1,1,1,1
http://schema.org/VisualArtwork,3,3,3,3
http://schema.org/disambiguatingDescription,1,1,1,1
http://schema.org/jobTitle,1,1,1,1
http://schema.org/PhotographAction,1,1,1,1
http://schema.org/PlanAction,2,2,2,2
http://schema.org/PlayAction,1,1,1,1
http://schema.org/PodcastEpisode,1,1,1,1
http://schema.org/PodcastSeason,1,1,1,1
http://schema.org/PodcastSeries,1,1,1,1
http://schema.org/PoliceStation,1,1,1,1
http://schema.org/areaServed,1,1,1,1
http://schema.org/PrependAction,1,1,1,1
http://schema.org/ProductModel,1,1,1,1
http://schema.org/ProgramMembership,1,1,1,1
http://schema.org/membershipPointsEarned,1,1,1,1
http://schema.org/PronounceableText,2,2,2,2
http://schema.org/phoneticText,2,2,2,2
http://schema.org/Quotation,2,2,2,2
http://schema.org/spokenByCharacter,2,2,2,2
http://schema.org/QuoteAction,1,1,1,1
http://schema.org/RadioBroadcastService,1,1,1,1
http://schema.org/callSign,1,1,1,1
http://schema.org/reviewAspect,1,1,1,1
http://schema.org/ReactAction,1,1,1,1
http://schema.org/ReadAction,4,4,4,4
http://schema.org/ReceiveAction,1,1,1,1
http://schema.org/Recommendation,2,2,2,2
http://schema.org/RegisterAction,3,3,3,3
http://schema.org/RejectAction,1,1,1,1
http://schema.org/RentAction,1,1,1,1
http://schema.org/RentalCarReservation,1,1,1,1
http://schema.org/ReplaceAction,1,1,1,1
http://schema.org/ReturnAction,1,1,1,1
http://schema.org/ReviewAction,1,1,1,1
http://schema.org/RsvpAction,1,1,1,1
http://schema.org/ScheduleAction,1,1,1,1
http://schema.org/SearchAction,3,3,3,3
http://schema.org/WebSite,1,1,1,1
http://schema.org/SellAction,1,1,1,1
http://schema.org/SendAction,1,1,1,1
http://schema.org/ShareAction,2,2,2,2
http://schema.org/SocialMediaPosting,1,1,1,1
http://schema.org/sharedContent,1,1,1,1
http://schema.org/SomeProducts,1,1,1,1
http://schema.org/SpeakableSpecification,2,2,2,2
http://schema.org/cssSelector,2,2,2,2
http://schema.org/speakable,3,3,3,3
http://schema.org/SportsOrganization,1,1,1,1
http://schema.org/SubscribeAction,1,1,1,1
http://schema.org/Table,1,1,1,1
http://schema.org/TaxiReservation,1,1,1,1
http://schema.org/Thesis,1,1,1,1
http://schema.org/inSupportOf,1,1,1,1
http://schema.org/TieAction,1,1,1,1
http://schema.org/TipAction,1,1,1,1
http://schema.org/Winery,1,1,1,1
http://schema.org/publicAccess,1,1,1,1
http://schema.org/TouristDestination,1,1,1,1
http://schema.org/TouristTrip,4,4,4,4
http://schema.org/itinerary,3,3,3,3
http://schema.org/Trip,2,2,2,2
http://schema.org/TrackAction,1,1,1,1
http://schema.org/TradeAction,1,1,1,1
http://schema.org/TrainReservation,1,1,1,1
http://schema.org/TrainTrip,1,1,1,1
http://schema.org/TrainStation,1,1,1,1
http://schema.org/TransferAction,1,1,1,1
http://schema.org/TravelAction,2,2,2,2
http://schema.org/UnRegisterAction,1,1,1,1
http://schema.org/UpdateAction,1,1,1,1
http://schema.org/UseAction,1,1,1,1
http://schema.org/VideoGame,6,6,6,6
http://schema.org/VoteAction,1,1,1,1
http://schema.org/WantAction,1,1,1,1
http://schema.org/WearAction,1,1,1,1
http://schema.org/WebAPI,1,1,1,1
http://schema.org/documentation,1,1,1,1
http://schema.org/termsOfService,1,1,1,1
http://schema.org/WinAction,1,1,1,1
http://schema.org/WorkBasedProgram,1,1,1,1
http://schema.org/WriteAction,1,1,1,1
http://schema.org/accessMode,3,2,2,3
http://schema.org/accessModeSufficient,3,2,2,3
http://schema.org/accessibilitySummary,3,2,2,3
http://schema.org/applicationContact,1,1,1,1
http://schema.org/checkinTime,1,1,1,1
http://schema.org/checkoutTime,1,1,1,1
http://schema.org/educationalCredentialAwarded,2,2,2,2
http://schema.org/employerOverview,1,1,1,1
http://schema.org/employmentUnit,1,1,1,1
http://schema.org/exampleOfWork,1,1,1,1
http://schema.org/workExample,1,1,1,1
http://schema.org/hasMap,1,1,1,1
http://schema.org/identifier,2,2,2,2
http://schema.org/instructor,1,1,1,1
http://schema.org/isBasedOn,1,1,1,1
http://schema.org/mainEntityOfPage,1,1,1,1
http://schema.org/negativeNotes,1,0,0,1
http://schema.org/positiveNotes,1,0,0,1
http://schema.org/numberOfRooms,2,2,2,2
http://schema.org/physicalRequirement,1,1,1,1
http://schema.org/sameAs,1,1,1,1
http://schema.org/sensoryRequirement,1,1,1,1
http://schema.org/skills,1,1,1,1
http://schema.org/starRating,2,2,2,2
