metric,approach,instance,value,prompt_ver,id,stratum
semantic,GPT_3_Turbo_16K,pred,1.0,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/7d7a317d2ba15dc594fcb8a29739b54c_WebPage_Organization_semantic.csv,1
semantic,GPT_3_Turbo_16K,expected,1.0,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/7d7a317d2ba15dc594fcb8a29739b54c_WebPage_Organization_semantic.csv,1
semantic,GPT_3_Turbo_16K,pred,0.9473684210526316,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/43abb6a0ee1c114a7923f56ef5e9df0c_Article_semantic.csv,1
semantic,GPT_3_Turbo_16K,expected,0.8,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/43abb6a0ee1c114a7923f56ef5e9df0c_Article_semantic.csv,1
semantic,GPT_3_Turbo_16K,pred,0.9230769230769232,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/759d65f8a527a9ed0764dbf746010506_TVEpisode_semantic.csv,1
semantic,GPT_3_Turbo_16K,expected,0.9166666666666666,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/759d65f8a527a9ed0764dbf746010506_TVEpisode_semantic.csv,1
jaccardms,GPT_3_Turbo_16K,pred,0.5714285714285714,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/7d7a317d2ba15dc594fcb8a29739b54c_WebPage_Organization_jaccardms.csv,1
jaccardms,GPT_3_Turbo_16K,expected,0.7857142857142857,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/7d7a317d2ba15dc594fcb8a29739b54c_WebPage_Organization_jaccardms.csv,1
jaccardms,GPT_3_Turbo_16K,pred,0.4155844155844156,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/43abb6a0ee1c114a7923f56ef5e9df0c_Article_jaccardms.csv,1
jaccardms,GPT_3_Turbo_16K,expected,0.8051948051948052,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/43abb6a0ee1c114a7923f56ef5e9df0c_Article_jaccardms.csv,1
jaccardms,GPT_3_Turbo_16K,pred,0.75,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/759d65f8a527a9ed0764dbf746010506_TVEpisode_jaccardms.csv,1
jaccardms,GPT_3_Turbo_16K,expected,0.7222222222222222,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/759d65f8a527a9ed0764dbf746010506_TVEpisode_jaccardms.csv,1
